ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
9400ZZMASDW1,mantwjmd,,,Shadowmoss (Manchester Metrolink),,Shadowmoss,,Ringway Trading Estate,,Shadow Moss Road,,,,To Airport,,,E0029575,Woodhouse Park,Wythenshawe,,,,,,0,UKOS,383304,385707,-2.25237909835,53.36796326948,PLT,,,,,,147,2014-09-12T11:57:00,2021-04-16T09:27:13,3,revise,active
9400ZZMASDW2,mantwjmg,,,Shadowmoss (Manchester Metrolink),,Shadowmoss,,Ringway Trading Estate,,Shadow Moss Road,,,,To Manchester,,,E0029575,Woodhouse Park,Wythenshawe,,,,,,0,UKOS,383295,385708,-2.25251440643,53.36797197167,PLT,,,,,,147,2014-09-12T11:58:00,2021-04-16T09:27:13,3,revise,active
9400ZZMASFD,mantmwdg,,,Stretford (Manchester Metrolink),,Stretford,,Stretford Mall,,Off Edge Lane,,,,,,,N0075174,Stretford,,,,,,,1,UKOS,379921,394408,-2.30377684182,53.44605308149,MET,,,,,,147,2005-10-13T00:00:00,2021-04-27T12:13:28,5,revise,active
9400ZZMASFD1,mantpmdw,,,Stretford (Manchester Metrolink),,Stretford,,Stretford Mall,,Off Edge Lane,,,,To Altrincham,,,N0075174,Stretford,,,,,,,1,UKOS,379925,394406,-2.30371649028,53.44603525801,PLT,,,,,,147,2005-10-10T00:00:00,2021-04-16T09:27:13,5,revise,active
9400ZZMASFD2,mantpmdt,,,Stretford (Manchester Metrolink),,Stretford,,Stretford Mall,,Off Edge Lane,,,,To Manchester,,,N0075174,Stretford,,,,,,,1,UKOS,379916,394411,-2.3038523134,53.44607985497,PLT,,,,,,147,2005-10-10T00:00:00,2021-04-16T09:27:13,5,revise,active
9400ZZMASHA,mantpwam,,,Shaw and Crompton (Manchester Metrolink),,Shaw & Crompton,,,,Off Beal Lane,,,,,,,E0029308,Shaw,,,,,,,1,UKOS,394169,408851,-2.0895331171,53.57622553407,MET,,,,,,147,2012-10-17T15:56:00,2021-04-27T12:13:28,4,revise,active
9400ZZMASHA1,mantpwap,,,Shaw and Crompton (Manchester Metrolink),,Shaw & Crompton,,,,Off Beal Lane,,,,To Rochdale,,,E0029308,Shaw,,,,,,,1,UKOS,394163,408854,-2.08962378749,53.57625243086,PLT,,,,,,147,2012-10-17T15:57:00,2021-04-16T09:27:13,4,revise,active
9400ZZMASHA2,mantpwat,,,Shaw and Crompton (Manchester Metrolink),,Shaw & Crompton,,,,Off Beal Lane,,,,To Manchester,,,E0029308,Shaw,,,,,,,1,UKOS,394172,408846,-2.08948771532,53.57618062667,PLT,,,,,,147,2012-10-18T11:52:00,2021-04-16T09:27:13,3,revise,active
9400ZZMASHA3,mantwtgm,,,Shaw and Crompton (Manchester Metrolink),,Shaw & Crompton,,,,Off Beal Lane,,,,To Manchester P3,,,E0029308,Shaw,,,,,,,1,UKOS,394175,408846,-2.08944240877,53.57618066065,PLT,,,,,,147,2017-01-08T22:16:34,2021-04-16T09:27:13,2,revise,active
9400ZZMASHU,mantmwdj,,,Shudehill (Manchester Metrolink),,Shudehill,,Printworks,,Shudehill,,,,,,,E0057786,Manchester City Centre,Manchester,,,,,,1,UKOS,384232,398753,-2.23909057413,53.48525513053,MET,,,,,,147,2005-10-13T00:00:00,2021-04-27T12:13:28,6,revise,active
9400ZZMASHU1,mantpgwt,,,Shudehill (Manchester Metrolink),,Shudehill,,Printworks,,Shudehill,,,,From City,,,E0057786,Manchester City Centre,Manchester,,,,,,1,UKOS,384229,398752,-2.2391357328,53.48524605163,PLT,,,,,,147,2005-10-10T00:00:00,2021-04-16T09:27:13,5,revise,active
9400ZZMASHU2,mantpjaj,,,Shudehill (Manchester Metrolink),,Shudehill,,Printworks,,Shudehill,,,,To City,,,E0057786,Manchester City Centre,Manchester,,,,,,1,UKOS,384237,398756,-2.23901537708,53.48528224644,PLT,,,,,,147,2005-10-10T00:00:00,2021-04-16T09:27:13,5,revise,active
9400ZZMASLE,mantmwdm,,,Sale (Manchester Metrolink),,Sale,,Sale Town Hall,,Off School Lane,,,,,,,E0029289,Sale,,,,,,,1,UKOS,378893,391982,-2.31909066981,53.4242069217,MET,,,,,,147,2005-10-13T00:00:00,2021-04-27T12:13:28,4,revise,active
9400ZZMASLE1,mantpmgm,,,Sale (Manchester Metrolink),,Sale,,Sale Town Hall,,Off School Lane,,,,To Altrincham,,,E0029289,Sale,,,,,,,1,UKOS,378896,391980,-2.31904539094,53.42418906563,PLT,,,,,,147,2005-10-10T00:00:00,2021-04-16T09:27:13,5,revise,active
9400ZZMASLE2,mantpmgj,,,Sale (Manchester Metrolink),,Sale,,Sale Town Hall,,Off School Lane,,,,To Manchester,,,E0029289,Sale,,,,,,,1,UKOS,378886,391986,-2.31919627574,53.42424259354,PLT,,,,,,147,2005-10-10T00:00:00,2021-04-16T09:27:13,5,revise,active
9400ZZMASQY,mantmwdp,,,Salford Quays (Manchester Metrolink),,Salford Quays,,The Matchstick Man,,The Quays,,,,,,,N0075140,Salford Quays,Salford,,,,,,1,UKOS,381246,397105,-2.2839897276,53.47034378352,MET,,,,,,147,2006-09-20T00:00:00,2021-04-27T12:13:28,4,revise,active
9400ZZMASQY1,mantpjgw,,,Salford Quays (Manchester Metrolink),,Salford Quays,,The Matchstick Man,,The Quays,,,,To Eccles,,,N0075140,Salford Quays,Salford,,,,,,1,UKOS,381241,397106,-2.28406510977,53.47035259267,PLT,,,,,,147,2005-10-10T00:00:00,2021-04-16T09:27:13,5,revise,active
9400ZZMASQY2,mantpjma,,,Salford Quays (Manchester Metrolink),,Salford Quays,,The Matchstick Man,,The Quays,,,,To Manchester,,,N0075140,Salford Quays,Salford,,,,,,1,UKOS,381251,397106,-2.28391446553,53.470352951,PLT,,,,,,147,2005-10-10T00:00:00,2021-04-16T09:27:13,5,revise,active
9400ZZMASTP,mantmwdt,,,St Peter's Square (Manchester Metrolink),,St Peter's Square,,Manchester Central Library,,Mosley Street,,,,,,,E0057786,Manchester City Centre,Manchester,,,,,,1,UKOS,383967,397974,-2.24304399517,53.47824514078,MET,,,,,,147,2006-09-20T00:00:00,2021-04-27T12:13:28,6,revise,active
9400ZZMASTP1,mantpjat,,,St Peter's Square (Manchester Metrolink),,St Peter's Square,,Manchester Central Library,,Mosley Street,,,,Platform 1,,,E0057786,Manchester City Centre,Manchester,,,,,,1,UKOS,383949,397969,-2.24331494864,53.47819964656,PLT,,,,,,147,2005-10-10T00:00:00,2021-04-16T09:27:13,6,revise,active
9400ZZMASTP2,mantpgwm,,,St Peter's Square (Manchester Metrolink),,St Peter's Square,,Manchester Central Library,,Mosley Street,,,,Platform 2,,,E0057786,Manchester City Centre,Manchester,,,,,,1,UKOS,383959,397975,-2.24316458477,53.47825388368,PLT,,,,,,147,2005-10-10T00:00:00,2021-04-16T09:27:13,6,revise,active
9400ZZMASTP3,mantwptj,,,St Peter's Square (Manchester Metrolink),,St Peter's Square,,Manchester Central Library,,Mosley Street,,,,Platform 3,,,E0057786,Manchester City Centre,Manchester,,,,,,1,UKOS,383968,397970,-2.24302872223,53.47820921803,PLT,,,,,,147,2016-07-28T00:00:00,2021-04-16T09:27:13,2,revise,active
9400ZZMASTP4,mantwptm,,,St Peter's Square (Manchester Metrolink),,St Peter's Square,,Manchester Central Library,,Mosley Street,,,,Platform 4,,,E0057786,Manchester City Centre,Manchester,,,,,,1,UKOS,383982,397980,-2.24281829435,53.47829953082,PLT,,,,,,147,2016-07-29T00:00:00,2021-04-16T09:27:13,2,revise,active
9400ZZMASTW,mantpdpw,,,St Werburgh's Road (Manchester Metrolink),,St Werburgh's Road,,Chorlton High School,,Off St Werburgh's Road,,,,,,,E0028713,Chorlton,Manchester,,,,,,0,UKOS,382447,393595,-2.26570014449,53.43883624645,MET,,,,,,147,2011-03-01T15:21:00,2021-04-27T12:13:28,5,revise,active
9400ZZMASTW1,mantpgta,,,St Werburgh's Road (Manchester Metrolink),,St Werburgh's Road,,Chorlton High School,,Off St Werburgh's Road,,,,To Manchester,,,E0028713,Chorlton,Manchester,,,,,,0,UKOS,382446,393594,-2.26571514166,53.43882722453,PLT,,,,,,147,2011-03-01T15:22:00,2021-04-16T09:27:13,5,revise,active
9400ZZMASTW2,mantpjdp,,,St Werburgh's Road (Manchester Metrolink),,St Werburgh's Road,,Chorlton High School,,Off St Werburgh's Road,,,,From Manchester,,,E0028713,Chorlton,Manchester,,,,,,0,UKOS,382448,393597,-2.26568520344,53.43885425676,PLT,,,,,,147,2011-03-01T15:24:00,2021-04-16T09:27:13,5,revise,active
