"StationName","NaptanCode","HubNaptan","Latitude","Longitude","Lift","SameLevel","Interchange","FareZones","Wifi"
"Upney Underground Station","940GZZLUUPY","",51.538372,0.10153,0,FALSE,0,"4",TRUE
"Upper Holloway Rail Station","910GUPRHLWY","",51.563631,-0.129513,0,FALSE,2,"2",FALSE
"Upton Park Underground Station","940GZZLUUPK","",51.53534,0.035263,0,FALSE,0,"3",TRUE
"Uxbridge Underground Station","940GZZLUUXB","",51.546565,-0.477949,0,FALSE,2,"6",TRUE
"Vauxhall Underground Station","940GZZLUVXL","HUBVXH",51.485743,-0.124204,2,FALSE,0,"1|2",TRUE
"Victoria Underground Station","940GZZLUVIC","HUBVIC",51.496359,-0.143102,6,FALSE,1,"1",TRUE
"Walthamstow Central Rail Station","910GWLTWCEN","HUBWHC",51.582919,-0.019815,0,FALSE,2,"3",TRUE
"Walthamstow Central Underground Station","940GZZLUWWL","HUBWHC",51.582965,-0.019885,0,FALSE,2,"3",TRUE
"Walthamstow Queens Road Rail Station","910GWLTHQRD","",51.581503,-0.023846,0,FALSE,0,"3",FALSE
"Wandsworth Road Rail Station","910GWNDSWRD","",51.470216,-0.13852,0,FALSE,0,"2",FALSE
"Wanstead Park Rail Station","910GWNSTDPK","",51.551693,0.026213,0,FALSE,0,"3",FALSE
"Wanstead Underground Station","940GZZLUWSD","",51.575501,0.028527,0,FALSE,0,"4",TRUE
"Wapping Rail Station","910GWAPPING","",51.504388,-0.055931,0,FALSE,0,"2",FALSE
"Warren Street Underground Station","940GZZLUWRR","",51.524951,-0.138321,0,FALSE,0,"1",TRUE
"Warwick Avenue Underground Station","940GZZLUWKA","",51.523263,-0.183783,0,FALSE,0,"2",TRUE
"Waterloo Underground Station","940GZZLUWLO","HUBWAT",51.503299,-0.11478,4,FALSE,0,"1",TRUE
"Watford High Street Rail Station","910GWATFDHS","",51.652655,-0.391711,0,FALSE,0,"8",TRUE
"Watford Junction Rail Station","910GWATFDJ","HUBWFJ",51.663908,-0.395925,1,FALSE,0,"Outside",FALSE
"Watford Junction Rail Station","910GWATFJDC","HUBWFJ",51.663529,-0.396517,1,FALSE,0,"Outside",FALSE
"Watford Underground Station","940GZZLUWAF","",51.657446,-0.417377,0,FALSE,0,"7",FALSE
"Wembley Central Rail Station","910GWMBY","HUBWMB",51.552325,-0.296433,4,FALSE,2,"4",TRUE
"Wembley Central Underground Station","940GZZLUWYC","HUBWMB",51.552304,-0.296852,4,FALSE,2,"4",TRUE
"Wembley Park Underground Station","940GZZLUWYP","",51.563198,-0.279262,5,FALSE,0,"4",TRUE
"West Acton Underground Station","940GZZLUWTA","",51.518001,-0.28098,0,FALSE,0,"3",TRUE
"West Brompton Rail Station","910GWBRMPTN","HUBWBP",51.487061,-0.195593,2,FALSE,0,"2",TRUE
"West Brompton Underground Station","940GZZLUWBN","HUBWBP",51.487268,-0.195599,2,FALSE,0,"2",TRUE
"West Croydon Rail Station","910GWCROYDN","HUBWCY",51.378428,-0.102585,0,FALSE,0,"5|Trams fare zone",FALSE
"West Drayton Rail Station","910GWDRYTON","",51.510055,-0.472234,5,FALSE,0,"6",FALSE
"West Ealing Rail Station","910GWEALING","",51.513506,-0.320133,2,FALSE,0,"3",FALSE
"West Finchley Underground Station","940GZZLUWFN","",51.609426,-0.188362,0,FALSE,2,"4",TRUE
"West Ham Underground Station","940GZZLUWHM","HUBWEH",51.528136,0.005055,5,FALSE,1,"2|3",TRUE
"West Hampstead Rail Station","910GWHMDSTD","HUBWHD",51.547468,-0.191185,2,FALSE,0,"2",TRUE
"West Hampstead Underground Station","940GZZLUWHP","HUBWHD",51.546638,-0.191059,0,FALSE,0,"2",TRUE
"West Harrow Underground Station","940GZZLUWHW","",51.57971,-0.3534,0,FALSE,0,"5",TRUE
"West Kensington Underground Station","940GZZLUWKN","",51.490459,-0.206636,0,FALSE,0,"2",TRUE
"West Ruislip Underground Station","940GZZLUWRP","HUBWRU",51.569688,-0.437886,0,FALSE,0,"6",TRUE
"Westbourne Park Underground Station","940GZZLUWSP","",51.52111,-0.201065,0,FALSE,0,"2",TRUE
"Westminster Underground Station","940GZZLUWSM","HUBWSM",51.50132,-0.124861,4,FALSE,1,"1",TRUE
"White City Underground Station","940GZZLUWCY","",51.511959,-0.224297,0,FALSE,0,"2",TRUE
"White Hart Lane Rail Station","910GWHHRTLA","",51.605037,-0.070914,2,FALSE,0,"3",TRUE
"Whitechapel","910GWCHAPXR","HUBZWL",51.51943,-0.060191,8,FALSE,0,"2",FALSE
"Whitechapel Rail Station","910GWCHAPEL","HUBZWL",51.519469,-0.059757,8,FALSE,0,"2",FALSE
"Whitechapel Underground Station","940GZZLUWPL","HUBZWL",51.519518,-0.059971,8,FALSE,0,"2",FALSE
